diagnostique,maladie,symptome
1,panic disorder,"anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, chest tightness, palpitations, irregular heartbeat, breathing fast"
1,panic disorder,"shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, palpitations"
1,panic disorder,"anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, palpitations, irregular heartbeat, breathing fast"
1,panic disorder,"anxiety and nervousness, depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements, breathing fast"
1,panic disorder,"anxiety and nervousness, depression, insomnia, abnormal involuntary movements, chest tightness"
1,panic disorder,"shortness of breath, depressive or psychotic symptoms, insomnia, palpitations, irregular heartbeat"
1,panic disorder,anxiety and nervousness
1,panic disorder,"depressive or psychotic symptoms, insomnia, abnormal involuntary movements, chest tightness, palpitations, irregular heartbeat, breathing fast"
1,panic disorder,"anxiety and nervousness, depressive or psychotic symptoms, dizziness, insomnia, chest tightness, irregular heartbeat"
1,panic disorder,"anxiety and nervousness, depression, shortness of breath, abnormal involuntary movements, palpitations, irregular heartbeat, breathing fast"
1,panic disorder,"shortness of breath, insomnia, breathing fast"
1,panic disorder,"anxiety and nervousness, depressive or psychotic symptoms, dizziness"
1,panic disorder,"anxiety and nervousness, depression, shortness of breath, insomnia, chest tightness, palpitations, irregular heartbeat"
1,panic disorder,"anxiety and nervousness, depressive or psychotic symptoms, abnormal involuntary movements, chest tightness"
1,panic disorder,"anxiety and nervousness, depression, depressive or psychotic symptoms, dizziness, insomnia, chest tightness"
1,panic disorder,"shortness of breath, depressive or psychotic symptoms, insomnia, abnormal involuntary movements, breathing fast"
1,panic disorder,"depression, shortness of breath, depressive or psychotic symptoms, abnormal involuntary movements, chest tightness, palpitations"
1,panic disorder,"anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, dizziness, abnormal involuntary movements, chest tightness, breathing fast"
1,panic disorder,"anxiety and nervousness, depressive or psychotic symptoms, dizziness, abnormal involuntary movements, chest tightness"
1,panic disorder,"anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, dizziness, palpitations, irregular heartbeat, breathing fast"
1,panic disorder,"shortness of breath, depressive or psychotic symptoms, insomnia, abnormal involuntary movements, chest tightness, breathing fast"
1,panic disorder,"dizziness, insomnia, chest tightness, palpitations"
1,panic disorder,"depression, dizziness, insomnia, abnormal involuntary movements, palpitations, breathing fast"
1,panic disorder,"depression, shortness of breath, depressive or psychotic symptoms, dizziness, abnormal involuntary movements, palpitations, irregular heartbeat"
