diagnostique,maladie,symptome
1,spondylolisthesis,"leg pain, neck pain, low back pain, problems with movement, loss of sensation, paresthesia, leg weakness"
1,spondylolisthesis,"hip pain, back pain, neck pain, problems with movement, loss of sensation, paresthesia, leg weakness"
1,spondylolisthesis,"hip pain, neck pain, low back pain, loss of sensation, paresthesia, leg cramps or spasms"
1,spondylolisthesis,"hip pain, problems with movement, leg cramps or spasms, leg weakness"
1,spondylolisthesis,"back pain, neck pain, low back pain, loss of sensation, leg cramps or spasms"
1,spondylolisthesis,"leg pain, back pain, neck pain, low back pain, loss of sensation, leg cramps or spasms"
1,spondylolisthesis,"leg pain, back pain, problems with movement, loss of sensation, paresthesia, leg cramps or spasms"
1,spondylolisthesis,"leg pain, back pain, low back pain, loss of sensation, paresthesia, leg cramps or spasms"
1,spondylolisthesis,"leg pain, low back pain, problems with movement, leg cramps or spasms, leg weakness"
1,spondylolisthesis,"leg pain, hip pain, back pain, problems with movement, loss of sensation, paresthesia, leg cramps or spasms"
1,spondylolisthesis,"leg pain, problems with movement, loss of sensation, paresthesia, leg cramps or spasms"
1,spondylolisthesis,"hip pain, back pain, low back pain, paresthesia"
1,spondylolisthesis,"leg pain, hip pain"
1,spondylolisthesis,"leg pain, hip pain, back pain, neck pain, low back pain, problems with movement, loss of sensation, paresthesia, leg weakness"
1,spondylolisthesis,"leg pain, hip pain, low back pain"
1,spondylolisthesis,"low back pain, leg cramps or spasms"
1,spondylolisthesis,"neck pain, low back pain, loss of sensation, paresthesia, leg cramps or spasms, leg weakness"
1,spondylolisthesis,"leg pain, hip pain, paresthesia, leg cramps or spasms"
1,spondylolisthesis,"leg pain, back pain, neck pain, low back pain, problems with movement, loss of sensation, paresthesia, leg cramps or spasms, leg weakness"
1,spondylolisthesis,"leg pain, hip pain, low back pain, loss of sensation, leg cramps or spasms"
1,spondylolisthesis,"leg pain, neck pain, problems with movement, loss of sensation, leg weakness"
1,spondylolisthesis,"hip pain, neck pain, loss of sensation, leg cramps or spasms, leg weakness"
1,spondylolisthesis,"hip pain, low back pain, leg cramps or spasms, leg weakness"
